Username,Konten,Lokasi
Zayy_Zayy5119,@bumnbersatu @ch_chotimah2 @prabowo @puanmaharani_ri Mundur ya mundur saja- cukup pake alasan “lelah/keluarga tentu akan lebih elegan. Byk cakap malah kliatan spt jualan kepedihan dan kebaikan- ujung2nya untuk mnarik simpati. Rakyat kita gampang kasihan- saya prihatin😂,"Jagakarsa, Indonesia"
Thiew97034438,"@Paltiwest Bahas jga dong ganjar,puan maharani dan yg lainnya knpa mrka main presiden presidenan....biar terlihat arahnya kmna narasinya",
RelawanPuan_ID,"Relawan Puan memberikan bantuan Pupuk petani di Desa Kerajan, Kel. Kampung Tengah, Kec. Maesan, Kab. Bondowoso. Diharapkan dapat membantu menyuburkan tanaman serta membuat panen berlimpah.

Warga juga mendukung Puan Maharani untuk maju Pilpres 2024.

#relawanpuan #2024bersamapuan https://t.co/dhVO2q6hGS",
pirmansyahpi2t,@xmataelangx Buzzer puan maharani,
DPN_PETANI,Percepatan Penurunan Angka Stunting Nasional Menuju Generasi Emas Indonesia 2045 - Orbit Indonesia cc:Presiden ⁦@jokowi⁩ ⁦@puanmaharani_ri⁩ ⁦@RioDamardjati⁩ ⁦@PDI_Perjuangan⁩ ⁦@BKKBNofficial⁩ ⁦@pramonoanung⁩  https://t.co/naXVCo7Y29,"Lebak Bulus, Cilandak, DKI"
z_soleh,"Curhatan Para Hansip 
.
@jokowi @prabowo @mohmahfudmd ,@titokarnavian_ @KemensosRI @puanmaharani_ri @cakimiNOW https://t.co/ePZzWqufab",Tazik - Batavia
78Soedono,@puanmaharani_ri Cocok bu puan JD presiden👍,
nursam_muhammad,"@ch_chotimah2 @aniesbaswedan @satriohendri @jokowi @PDI_Perjuangan @puanmaharani_ri @ganjarpranowo Berobat, Mbak, biar tidak sakit hati dan tdk sakit otak. Udah betul itu, Mbak Puan jauh lebih baik daripada Ganjar.",
Market5tudio,@itsamareguzel Qlo skg gak cukup space nya buat nulis nama pendahulu ..... pea'  otak rezim sekarang ...#brin  @puanmaharani_ri,Paris Van Java - #Indonesia
RelawanPuan_ID,"Relawan Puan memberikan sembako kepada masyarakat yang membutuhkan di Desa Timur Pasar, Kel. Maesan, Kec. Maesan, Kab. Bondowoso

Para warga pun turut senang atas bantuan yang diberikan dan memberikan dukungan kepada Puan Maharani untuk Pilpres 2024

#relawanpuan #2024bersamapuan https://t.co/OJsMVScS7F",
AaHendrik8,Cc @PDI_Perjuangan  @puanmaharani_ri ini nih nasehat dari uni Mardani buat Bu mega … 👇🏿,"Kota Bandung, Jawa Barat"
1febri,@zarnaout45 Yg ga ikut ngaji anaknya jd kek puan Maharani,
SofyanY27225101,@puanmaharani_ri Amiin yarobball allamiin 🌟🌟🌟🌟,
11kopigila,"@puanmaharani_ri Maaf beribu maaf bu puan tolong tanya nenek mega, nenek mega pernah ikut pengajian?? 
kalau pernah apa bu puan dulu terlantar????

Belum pernah??? ya wajarlah kalau ngomong gitu. https://t.co/b4L99pNQlQ",Ambon
alamdip22,@KompasTV @jokowi @susipudjiastuti @RamliRizal @Kemendag @kementan @CNNIndonesia @cnbcindonesia @kompascom @puanmaharani_ri,
RelawanPuan_ID,"Pemenang Lomba Egrang juga akan mendapatkan doorprize dari Relawan Puan. Tak lupa, peserta lomba juga turut memberikan dukungan kepada Puan Maharani untuk maju Pilpres 2024.

#relawanpuan #2024bersamapuan https://t.co/th5u3Tb4GY",
Aniespedia,"Wacanakan terus-menerus agar PDIP akhirnya mengajukan calon yang paling lemah secara politik. Hal ini sudah dimulai oleh Refly, Rocky, Musni dan Ubedillah yang selalu mewacanakan agar PDIP mengusung Puan Maharani. #Pilpres2024 Jarnas Anies Baswedan Kadrun Khilafah PKS AHY Jokowi",Indonesia
DanaPensiun22,"@machrilmachril1 Pesan dikaosnya : BALIKIN UANG MILIK NASABAH (BUMN) JIWASRAYA
Bagus nggak Pak @erickthohir @Jiwasraya ?

Cc @jokowi @mohmahfudmd @puanmaharani_ri @AryaSinulingga @Kiyai_MarufAmin @rahayupuspa7 @ojkindonesia @KSPgoid",
hrlwnnanoai,"Semoga kelapa ini bisa menghilangkan nikotin di dalam tubuh saya 

#sehat #sehatitusederhana #mantai #batusemuapantainya #puanmaharani #pssi #BBTitan #AllegriOut #BTS https://t.co/XoYQbDlzuq",Laugh Tale
Afgan772,"@Yusrilihza_Mhd Bung Yusril Sayap baitul mukminin @PDI_Perjuangan fungsinya apa ya @puanmaharani_ri @ganjarpranowo @zuhairimisrawi ??
Ibu bangsa mbok ya diajak dan dikasih tau dikit2 manfaat dan barokah pengajian
Berarti benar apa yang pernah disebutin cak Nun @emhaainunnadjib",Indonesia
